"","subnum","condition","task","order","trial","interference","date","max","exponent","threshold","correct","rt1","rt2","r","addends","sum","digits","int_score","trial_time","dot","dob","age","gender","abacus_q","finger.counter","male","gender.12"
"16",2,"baseline","baseline",3,17,0,"20130708T171657",19.7,1.2,12,0,20.6,21.46,43,1,53,"19  13  21",-1,24.6,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"17",2,"baseline","baseline",3,18,0,"20130708T171657",17.8,1.2,11,1,10.02,11.33,36,1,36,"19   6  11",-1,14.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"20",2,"baseline","baseline",3,8,0,"20130708T171657",6.9,1.2,5,1,3.13,3.88,11,1,11,"2  3  6",-1,6.74,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"21",2,"baseline","baseline",3,9,0,"20130708T171657",8.59,1.2,6,1,4.02,4.76,12,1,12,"8  3  1",-1,7.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"22",2,"baseline","baseline",3,10,0,"20130708T171657",10.3,1.2,7,1,4.11,4.76,26,1,26,"11  10   5",-1,7.85,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"23",2,"baseline","baseline",3,11,0,"20130708T171657",12.1,1.2,8,1,5.94,6.74,28,1,28,"11   6  11",-1,9.97,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"24",2,"baseline","baseline",3,12,0,"20130708T171657",14,1.2,9,1,1.95,2.68,24,1,24,"5  15   4",-1,6.09,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"25",2,"baseline","baseline",3,13,0,"20130708T171657",15.8,1.2,10,1,2.4,3.37,18,1,18,"1   1  16",-1,6.23,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"26",2,"baseline","baseline",3,14,0,"20130708T171657",17.8,1.2,11,0,19.06,19.97,32,1,41,"19   7  15",-1,23.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"27",2,"baseline","baseline",3,15,0,"20130708T171657",15.8,1.2,10,1,6.92,7.75,34,1,34,"11   7  16",-1,10.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"28",2,"baseline","baseline",3,16,0,"20130708T171657",17.8,1.2,11,1,3.58,4.46,34,1,34,"19   1  14",-1,7.45,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"44",2,"baseline","baseline",3,5,0,"20130708T171657",2.3,1.2,2,1,2.19,2.59,4,1,4,"1  1  2",-1,5.21,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"45",2,"baseline","baseline",3,6,0,"20130708T171657",3.74,1.2,3,1,2.44,2.88,9,1,9,"1  5  3",-1,5.69,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"46",2,"baseline","baseline",3,7,0,"20130708T171657",5.28,1.2,4,1,2.22,2.69,9,1,9,"1  6  2",-1,5.35,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"113",2,"baseline","baseline",3,33,0,"20130708T171657",23.7,1.2,14,1,17.06,17.99,42,1,42,"23  18   1",-1,20.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"119",2,"baseline","baseline",3,25,0,"20130708T171657",19.7,1.2,12,0,16.49,17.28,46,1,53,"18  19  16",-1,20.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"120",2,"baseline","baseline",3,26,0,"20130708T171657",17.8,1.2,11,1,2.9,3.97,26,1,26,"1   6  19",-1,6.88,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"121",2,"baseline","baseline",3,27,0,"20130708T171657",19.7,1.2,12,1,2.67,3.57,26,1,26,"6  19   1",-1,6.39,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"122",2,"baseline","baseline",3,28,0,"20130708T171657",21.7,1.2,13,1,5.27,6.46,50,1,50,"5  23  22",-1,9.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"126",2,"baseline","baseline",3,19,0,"20130708T171657",19.7,1.2,12,0,9.25,10.14,41,1,31,"5  21   5",-1,13.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"127",2,"baseline","baseline",3,20,0,"20130708T171657",17.8,1.2,11,0,17.15,18.28,49,1,47,"13  17  17",-1,21.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"131",2,"baseline","baseline",3,24,0,"20130708T171657",21.7,1.2,13,0,11.61,12.62,40,1,50,"12  21  17",-1,15.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"132",2,"baseline","baseline",3,29,0,"20130708T171657",23.7,1.2,14,1,3.6,4.77,30,1,30,"2   4  24",-1,7.68,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"133",2,"baseline","baseline",3,30,0,"20130708T171657",25.8,1.2,15,0,9.62,10.82,34,1,44,"26   5  13",-1,14,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"134",2,"baseline","baseline",3,31,0,"20130708T171657",23.7,1.2,14,1,7.03,8.14,47,1,47,"21   1  25",-1,11.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"135",2,"baseline","baseline",3,32,0,"20130708T171657",25.8,1.2,15,0,25.06,25.92,66,1,63,"26  13  24",-1,29.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"137",2,"baseline","baseline",3,21,0,"20130708T171657",15.8,1.2,10,1,6.6,7.55,31,1,31,"15   2  14",-1,10.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"138",2,"baseline","baseline",3,22,0,"20130708T171657",17.8,1.2,11,1,10.7,11.73,37,1,37,"18   3  16",-1,14.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"139",2,"baseline","baseline",3,23,0,"20130708T171657",19.7,1.2,12,1,5.37,6.46,41,1,41,"15   5  21",-1,9.58,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"1",2,"blindfold","blindfold",4,13,0,"20130708T172900",14,1.2,9,1,12.54,13.4,29,1,29,"11   3  15",-1,16.6,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"2",2,"blindfold","blindfold",4,14,0,"20130708T172900",15.8,1.2,10,1,18.66,19.47,26,1,26,"17   8   1",-1,22.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"4",2,"blindfold","blindfold",4,17,0,"20130708T172900",21.7,1.2,13,1,2.81,3.76,41,1,41,"15  21   5",-1,6.91,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"5",2,"blindfold","blindfold",4,15,0,"20130708T172900",17.8,1.2,11,1,16.13,16.79,44,1,44,"17  18   9",-1,19.8,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"6",2,"blindfold","blindfold",4,16,0,"20130708T172900",19.7,1.2,12,1,7.67,8.64,35,1,35,"19  10   6",-1,11.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"7",2,"blindfold","blindfold",4,7,0,"20130708T172900",6.9,1.2,5,1,3.84,4.66,13,1,13,"5  6  2",-1,7.37,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"8",2,"blindfold","blindfold",4,8,0,"20130708T172900",8.59,1.2,6,1,2.03,2.95,19,1,19,"4  10   5",-1,6.04,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"9",2,"blindfold","blindfold",4,9,0,"20130708T172900",10.3,1.2,7,1,3.59,4.68,20,1,20,"9  6  5",-1,8.26,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"10",2,"blindfold","blindfold",4,10,0,"20130708T172900",12.1,1.2,8,1,4.73,5.79,27,1,27,"12   4  11",-1,9.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"11",2,"blindfold","blindfold",4,11,0,"20130708T172900",14,1.2,9,1,9.12,9.9,32,1,32,"9  13  10",-1,14,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"12",2,"blindfold","blindfold",4,12,0,"20130708T172900",15.8,1.2,10,0,18.63,19.59,23,1,33,"15   1  17",-1,23.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"18",2,"blindfold","blindfold",4,18,0,"20130708T172900",23.7,1.2,14,1,6.22,6.95,55,1,55,"23  20  12",-1,9.84,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"19",2,"blindfold","blindfold",4,6,0,"20130708T172900",5.28,1.2,4,1,2.71,3.47,14,1,14,"4  6  4",-1,6.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"32",2,"blindfold","blindfold",4,4,0,"20130708T172900",2.3,1.2,2,1,2.01,2.39,7,1,7,"2  2  3",-1,5.01,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"33",2,"blindfold","blindfold",4,5,0,"20130708T172900",3.74,1.2,3,1,3.27,4.17,11,1,11,"4  4  3",-1,7.01,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"47",2,"blindfold","blindfold",4,19,0,"20130708T172900",25.8,1.2,15,1,7.55,8.75,58,1,58,"25  26   7",-1,11.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"48",2,"blindfold","blindfold",4,20,0,"20130708T172900",27.9,1.2,16,0,9.94,10.82,52,1,62,"14  27  21",-1,14,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"49",2,"blindfold","blindfold",4,21,0,"20130708T172900",25.8,1.2,15,1,3.27,3.97,48,1,48,"3  25  20",-1,6.88,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"50",2,"blindfold","blindfold",4,22,0,"20130708T172900",27.9,1.2,16,1,6.12,7.15,38,1,38,"27   9   2",-1,9.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"51",2,"blindfold","blindfold",4,23,0,"20130708T172900",30,1.2,17,0,13.27,14.11,62,1,52,"30   5  17",-1,17.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"52",2,"blindfold","blindfold",4,24,0,"20130708T172900",27.9,1.2,16,0,26.24,27.41,79,1,67,"26  28  13",-1,30.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"53",2,"blindfold","blindfold",4,25,0,"20130708T172900",25.8,1.2,15,1,14.1,15.01,73,1,73,"26  24  23",-1,18.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"54",2,"blindfold","blindfold",4,26,0,"20130708T172900",27.9,1.2,16,0,11.78,12.72,55,1,54,"10  29  15",-1,15.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"55",2,"blindfold","blindfold",4,27,0,"20130708T172900",25.8,1.2,15,0,23.12,24.24,49,1,46,"13  27   6",-1,27.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"56",2,"blindfold","blindfold",4,28,0,"20130708T172900",23.7,1.2,14,1,7.23,8.25,51,1,51,"22  25   4",-1,11.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"57",2,"blindfold","blindfold",4,29,0,"20130708T172900",25.8,1.2,15,1,12.8,13.7,43,1,43,"8  25  10",-1,16.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"58",2,"blindfold","blindfold",4,30,0,"20130708T172900",27.9,1.2,16,0,12.18,12.92,42,1,52,"7  27  18",-1,16,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"59",2,"blindfold","blindfold",4,31,0,"20130708T172900",25.8,1.2,15,1,8.71,9.73,41,1,41,"10  26   5",-1,12.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"60",2,"blindfold","blindfold",4,32,0,"20130708T172900",27.9,1.2,16,0,10.62,11.62,38,1,39,"28   7   4",-1,14.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"73",2,"stillhands","stillhands",1,27,0,"20130708T165218",21.7,1.2,13,1,18.14,18.97,51,1,51,"21  10  20",-1,21.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"74",2,"stillhands","stillhands",1,28,0,"20130708T165218",23.7,1.2,14,0,18.31,19.27,59,1,54,"21   9  24",-1,22.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"75",2,"stillhands","stillhands",1,29,0,"20130708T165218",21.7,1.2,13,0,10.8,11.91,50,1,40,"23  10   7",-1,14.8,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"76",2,"stillhands","stillhands",1,30,0,"20130708T165218",19.7,1.2,12,0,6.24,7.17,25,1,35,"12   3  20",-1,10,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"77",2,"stillhands","stillhands",1,31,0,"20130708T165218",17.8,1.2,11,1,6.44,7.34,30,1,30,"7   5  18",-1,10.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"78",2,"stillhands","stillhands",1,32,0,"20130708T165218",19.7,1.2,12,1,10.18,11.13,49,1,49,"13  15  21",-1,14.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"80",2,"stillhands","stillhands",1,7,0,"20130708T165218",6.9,1.2,5,1,4.29,5.16,16,1,16,"8  2  6",-1,7.98,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"81",2,"stillhands","stillhands",1,8,0,"20130708T165218",8.59,1.2,6,1,5.24,6.06,18,1,18,"1  8  9",-1,8.87,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"82",2,"stillhands","stillhands",1,9,0,"20130708T165218",10.3,1.2,7,1,2.78,3.57,18,1,18,"10   4   4",-1,6.49,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"83",2,"stillhands","stillhands",1,10,0,"20130708T165218",12.1,1.2,8,1,6.18,7.04,24,1,24,"12   1  11",-1,10,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"90",2,"stillhands","stillhands",1,4,0,"20130708T165218",2.3,1.2,2,1,3.83,4.38,7,1,7,"2  2  3",-1,7.13,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"91",2,"stillhands","stillhands",1,5,0,"20130708T165218",3.74,1.2,3,1,2.13,2.79,8,1,8,"4  2  2",-1,5.48,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"92",2,"stillhands","stillhands",1,6,0,"20130708T165218",5.28,1.2,4,1,1.92,2.78,11,1,11,"4  6  1",-1,5.68,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"93",2,"stillhands","stillhands",1,20,0,"20130708T165218",23.7,1.2,14,0,30,30.1,-1,1,47,"16  25   6",-1,33.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"94",2,"stillhands","stillhands",1,21,0,"20130708T165218",21.7,1.2,13,0,30,30.1,-1,1,44,"13  23   8",-1,33.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"95",2,"stillhands","stillhands",1,22,0,"20130708T165218",19.7,1.2,12,1,9.37,10.23,43,1,43,"16  20   7",-1,13.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"96",2,"stillhands","stillhands",1,23,0,"20130708T165218",21.7,1.2,13,1,18.52,19.47,42,1,42,"21   6  15",-1,22.6,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"97",2,"stillhands","stillhands",1,11,0,"20130708T165218",14,1.2,9,1,7.89,8.84,30,1,30,"10   6  14",-1,12.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"98",2,"stillhands","stillhands",1,12,0,"20130708T165218",15.8,1.2,10,1,6.99,7.75,32,1,32,"14   3  15",-1,11.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"99",2,"stillhands","stillhands",1,13,0,"20130708T165218",17.8,1.2,11,1,11.07,12,40,1,40,"6  18  16",-1,15.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"100",2,"stillhands","stillhands",1,14,0,"20130708T165218",19.7,1.2,12,0,16.74,17.78,42,1,43,"16   8  19",-1,20.8,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"101",2,"stillhands","stillhands",1,15,0,"20130708T165218",17.8,1.2,11,0,17.09,17.99,45,1,46,"18   9  19",-1,21,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"102",2,"stillhands","stillhands",1,16,0,"20130708T165218",15.8,1.2,10,1,6.59,7.54,28,1,28,"1  16  11",-1,10.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"103",2,"stillhands","stillhands",1,17,0,"20130708T165218",17.8,1.2,11,1,16.27,17.2,45,1,45,"18  16  11",-1,20.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"104",2,"stillhands","stillhands",1,18,0,"20130708T165218",19.7,1.2,12,1,3.83,4.76,45,1,45,"21  20   4",-1,7.85,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"105",2,"stillhands","stillhands",1,19,0,"20130708T165218",21.7,1.2,13,1,8.32,9.23,39,1,39,"6  23  10",-1,12.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"110",2,"stillhands","stillhands",1,24,0,"20130708T165218",23.7,1.2,14,1,4.76,5.76,35,1,35,"24   5   6",-1,8.85,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"111",2,"stillhands","stillhands",1,25,0,"20130708T165218",25.8,1.2,15,0,17.3,18.27,47,1,49,"6  27  16",-1,21.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"112",2,"stillhands","stillhands",1,26,0,"20130708T165218",23.7,1.2,14,0,19.9,20.85,43,1,58,"25  17  16",-1,24.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"37",2,"interference","interference",2,4,1,"20130708T170531",2.3,1.2,2,1,0.48,0.92,4,1,4,"1  1  2",94,7.45,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"38",2,"interference","interference",2,5,1,"20130708T170531",3.74,1.2,3,1,1.03,1.61,11,1,11,"3  5  3",98,8.32,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"39",2,"interference","interference",2,6,1,"20130708T170531",5.28,1.2,4,1,0.87,1.61,10,1,10,"1  5  4",98,8.28,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"40",2,"interference","interference",2,7,1,"20130708T170531",6.9,1.2,5,1,0.96,1.72,12,1,12,"4  2  6",100,8.29,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"41",2,"interference","interference",2,8,1,"20130708T170531",8.59,1.2,6,1,0.76,1.72,18,1,18,"8  2  8",101,8.13,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"42",2,"interference","interference",2,9,1,"20130708T170531",10.3,1.2,7,1,4.69,5.4,26,1,26,"8  9  9",101,12,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"43",2,"interference","interference",2,10,1,"20130708T170531",12.1,1.2,8,1,1.04,1.72,15,1,15,"11   2   2",98,8.24,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"63",2,"interference","interference",2,30,1,"20130708T170531",23.7,1.2,14,0,3.03,3.91,47,1,67,"24  21  22",95,10.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"64",2,"interference","interference",2,31,1,"20130708T170531",21.7,1.2,13,0,7.21,8.09,35,1,41,"14   4  23",100,15,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"65",2,"interference","interference",2,32,1,"20130708T170531",19.7,1.2,12,0,5.97,6.69,43,1,44,"17  19   8",97,13.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"84",2,"interference","interference",2,11,1,"20130708T170531",14,1.2,9,1,1.05,2.01,29,1,29,"11   4  14",98,8.76,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"85",2,"interference","interference",2,12,1,"20130708T170531",15.8,1.2,10,0,7.96,8.87,27,1,37,"17  12   8",100,15.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
