subnum, condition, task, order, trial,interference,date,max,exponent,threshold,correct,rt1,rt2,r,addends,sum,digits,int_score,trial_time
10,baseline,baseline,1,1,0,20130815T132407,3,1.20E+00,1,1,0.74,1.53,6,1,6,2  3  1,-1,8.23E+00
10,baseline,baseline,1,2,0,20130815T132407,3,1.20E+00,1,1,1.17,1.77,7,1,7,1  3  3,-1,4.56E+00
10,baseline,baseline,1,3,0,20130815T132407,3,1.20E+00,1,1,3.08,3.67,6,1,6,2  3  1,-1,6.41E+00
10,baseline,baseline,1,4,0,20130815T132407,2.30E+00,1.20E+00,2,1,1.27,1.78,7,1,7,2  2  3,-1,4.52E+00
10,baseline,baseline,1,5,0,20130815T132407,3.74E+00,1.20E+00,3,1,1.53,2.19,10,1,10,3  4  3,-1,5.09E+00
10,baseline,baseline,1,6,0,20130815T132407,5.28E+00,1.20E+00,4,1,2.26,2.91,15,1,15,6  5  4,-1,5.85E+00
10,baseline,baseline,1,7,0,20130815T132407,6.90E+00,1.20E+00,5,1,1.52,2.09,12,1,12,6  3  3,-1,4.89E+00
10,baseline,baseline,1,8,0,20130815T132407,8.59E+00,1.20E+00,6,1,1.29,1.98,19,1,19,3  9  7,-1,4.89E+00
10,baseline,baseline,1,9,0,20130815T132407,1.03E+01,1.20E+00,7,1,2.99,3.48,23,1,23,8  9  6,-1,6.35E+00
10,baseline,baseline,1,10,0,20130815T132407,1.21E+01,1.20E+00,8,1,1.2,1.78,33,1,33,11  11  11,-1,4.80E+00
10,baseline,baseline,1,11,0,20130815T132407,1.40E+01,1.20E+00,9,1,3.51,4.57,24,1,24,3  13   8,-1,7.61E+00
10,baseline,baseline,1,12,0,20130815T132407,1.58E+01,1.20E+00,10,1,4.69,5.25,35,1,35,16  14   5,-1,8.63E+00
10,baseline,baseline,1,13,0,20130815T132407,1.78E+01,1.20E+00,11,1,1.55,2.19,39,1,39,17  17   5,-1,5.68E+00
10,baseline,baseline,1,14,0,20130815T132407,1.97E+01,1.20E+00,12,1,2.22,3.06,34,1,34,7  19   8,-1,6.14E+00
10,baseline,baseline,1,15,0,20130815T132407,2.17E+01,1.20E+00,13,1,3.39,3.96,52,1,52,23  22   7,-1,7.16E+00
10,baseline,baseline,1,16,0,20130815T132407,2.37E+01,1.20E+00,14,1,5.45,6.26,41,1,41,5  25  11,-1,9.26E+00
10,baseline,baseline,1,17,0,20130815T132407,2.58E+01,1.20E+00,15,1,6.51,7.05,60,1,60,27  21  12,-1,1.01E+01
10,baseline,baseline,1,18,0,20130815T132407,2.79E+01,1.20E+00,16,1,6.34,7.24,68,1,68,29  26  13,-1,1.04E+01
10,baseline,baseline,1,19,0,20130815T132407,3.00E+01,1.20E+00,17,1,2.47,3.06,65,1,65,10  30  25,-1,6.10E+00
10,baseline,baseline,1,20,0,20130815T132407,3.21E+01,1.20E+00,18,0,7.28,7.95,41,1,51,15  32   4,-1,1.10E+01
10,baseline,baseline,1,21,0,20130815T132407,3.00E+01,1.20E+00,17,1,7.66,8.43,72,1,72,21  29  22,-1,1.16E+01
10,baseline,baseline,1,22,0,20130815T132407,3.21E+01,1.20E+00,18,0,5.43,6.35,51,1,81,18  31  32,-1,9.47E+00
10,baseline,baseline,1,23,0,20130815T132407,3.00E+01,1.20E+00,17,1,12.93,13.8,57,1,57,29   9  19,-1,1.68E+01
10,baseline,baseline,1,24,0,20130815T132407,3.21E+01,1.20E+00,18,1,6.44,7.05,82,1,82,32  31  19,-1,1.01E+01
10,baseline,baseline,1,25,0,20130815T132407,3.42E+01,1.20E+00,19,1,6.99,7.75,82,1,82,35  25  22,-1,1.09E+01
10,baseline,baseline,1,26,0,20130815T132407,3.64E+01,1.20E+00,20,0,30,30.1,-1,1,59,9  35  15,-1,3.32E+01
10,baseline,baseline,1,27,0,20130815T132407,3.42E+01,1.20E+00,19,1,5.61,6.24,63,1,63,33  23   7,-1,9.40E+00
10,baseline,baseline,1,28,0,20130815T132407,3.64E+01,1.20E+00,20,1,8.48,9.23,76,1,76,36  26  14,-1,1.25E+01
10,baseline,baseline,1,29,0,20130815T132407,3.86E+01,1.20E+00,21,1,1.8,2.59,50,1,50,8  40   2,-1,5.23E+00
10,baseline,baseline,1,30,0,20130815T132407,4.08E+01,1.20E+00,22,1,5.21,5.91,67,1,67,6  20  41,-1,9.03E+00
10,baseline,baseline,1,31,0,20130815T132407,4.31E+01,1.20E+00,23,1,8.1,8.74,76,1,76,9  25  42,-1,1.18E+01
10,baseline,baseline,1,32,0,20130815T132407,4.53E+01,1.20E+00,24,1,2.19,2.79,86,1,86,4  46  36,-1,6.20E+00
10,baseline,baseline,1,33,0,20130815T132407,4.76E+01,1.20E+00,25,1,2.6,3.66,104,1,104,49  11  44,-1,6.91E+00
10,baseline,baseline,1,34,0,20130815T132407,4.99E+01,1.20E+00,26,1,14.8,15.88,118,1,118,51  32  35,-1,1.90E+01
